source_url,source_type,title,material_id,reported_active_for_co2rr,download_url,original_format,local_filename,status,notes
https://nomad-lab.eu/prod/v1/gui/search/entries?entry_id=gZK5dzupucEI3e77yKvmZljKCtbz,Nature Nanocluster DB,QCD Ru3 (3 atoms),QCD_gZK5dzupucEI3e77yKvmZljKCtbz,yes,https://nomad-lab.eu/prod/v1/api/v1/entries/gZK5dzupucEI3e77yKvmZljKCtbz/archive,NOMAD_archive,nanocluster_Ru3_3atom.cif,downloaded_converted,QCD DFT PBE Ru3 3atom cluster. Manna Sci Data 2023.
https://nomad-lab.eu/prod/v1/gui/search/entries?entry_id=GfCAx4hq12nL_PBtKxVkkG-p5dFP,Nature Nanocluster DB,QCD Ru4 (4 atoms),QCD_GfCAx4hq12nL_PBtKxVkkG-p5dFP,yes,https://nomad-lab.eu/prod/v1/api/v1/entries/GfCAx4hq12nL_PBtKxVkkG-p5dFP/archive,NOMAD_archive,nanocluster_Ru4_4atom.cif,downloaded_converted,QCD DFT PBE Ru4 4atom cluster. Manna Sci Data 2023.
https://nomad-lab.eu/prod/v1/gui/search/entries?entry_id=8968pJ-1abDruAvD0Te-7Z3fqoaK,Nature Nanocluster DB,QCD Ru55 (55 atoms),QCD_8968pJ-1abDruAvD0Te-7Z3fqoaK,yes,https://nomad-lab.eu/prod/v1/api/v1/entries/8968pJ-1abDruAvD0Te-7Z3fqoaK/archive,NOMAD_archive,nanocluster_Ru55_55atom.cif,downloaded_converted,QCD DFT PBE Ru55 55atom cluster. Manna Sci Data 2023.
https://nomad-lab.eu/prod/v1/gui/search/entries?entry_id=1BxONnYnbJ4llVV7uitGppG4PEKD,Nature Nanocluster DB,QCD Ru5 (5 atoms),QCD_1BxONnYnbJ4llVV7uitGppG4PEKD,yes,https://nomad-lab.eu/prod/v1/api/v1/entries/1BxONnYnbJ4llVV7uitGppG4PEKD/archive,NOMAD_archive,nanocluster_Ru5_5atom.cif,downloaded_converted,QCD DFT PBE Ru5 5atom cluster. Manna Sci Data 2023.
https://nomad-lab.eu/prod/v1/gui/search/entries?entry_id=-K0-pztKECMIS_JkMYyCIYFXRiHk,Nature Nanocluster DB,QCD Ru6 (6 atoms),QCD_-K0-pztKECMIS_JkMYyCIYFXRiHk,yes,https://nomad-lab.eu/prod/v1/api/v1/entries/-K0-pztKECMIS_JkMYyCIYFXRiHk/archive,NOMAD_archive,nanocluster_Ru6_6atom.cif,downloaded_converted,QCD DFT PBE Ru6 6atom cluster. Manna Sci Data 2023.
https://nomad-lab.eu/prod/v1/gui/search/entries?entry_id=1FYa8NLXTFgFUAu6KbnHSFSK_gng,Nature Nanocluster DB,QCD Ru7 (7 atoms),QCD_1FYa8NLXTFgFUAu6KbnHSFSK_gng,yes,https://nomad-lab.eu/prod/v1/api/v1/entries/1FYa8NLXTFgFUAu6KbnHSFSK_gng/archive,NOMAD_archive,nanocluster_Ru7_7atom.cif,downloaded_converted,QCD DFT PBE Ru7 7atom cluster. Manna Sci Data 2023.
https://nomad-lab.eu/prod/v1/gui/search/entries?entry_id=2TFycc68lzc-PA3WgirUv3s4bZYj,Nature Nanocluster DB,QCD Ru8 (8 atoms),QCD_2TFycc68lzc-PA3WgirUv3s4bZYj,yes,https://nomad-lab.eu/prod/v1/api/v1/entries/2TFycc68lzc-PA3WgirUv3s4bZYj/archive,NOMAD_archive,nanocluster_Ru8_8atom.cif,downloaded_converted,QCD DFT PBE Ru8 8atom cluster. Manna Sci Data 2023.
https://nomad-lab.eu/prod/v1/gui/search/entries?entry_id=-ctVr5w1KTYvTb56L8Zqfn3C_zXl,Nature Nanocluster DB,QCD Ru9 (9 atoms),QCD_-ctVr5w1KTYvTb56L8Zqfn3C_zXl,yes,https://nomad-lab.eu/prod/v1/api/v1/entries/-ctVr5w1KTYvTb56L8Zqfn3C_zXl/archive,NOMAD_archive,nanocluster_Ru9_9atom.cif,downloaded_converted,QCD DFT PBE Ru9 9atom cluster. Manna Sci Data 2023.
,ioChem-BD,,nanocluster,yes,,CONTCAR,nanocluster_Sn10_10atom.cif,downloaded_converted,Pre-existing file
https://nomad-lab.eu/prod/v1/gui/search/entries?entry_id=0cnullCRC098GsvgQWhDEWiGgoAO,Nature Nanocluster DB,QCD Sn13 (13 atoms),QCD_0cnullCRC098GsvgQWhDEWiGgoAO,yes,https://nomad-lab.eu/prod/v1/api/v1/entries/0cnullCRC098GsvgQWhDEWiGgoAO/archive,NOMAD_archive,nanocluster_Sn13_13atom.cif,downloaded_converted,QCD DFT PBE Sn13 13atom cluster. Manna Sci Data 2023.
